ID\Lat	Lon		boatSpeed	boatDir	TWD	TWA	TWS	AWA	AWS	Time	Stress	Activity	Maneuver (nb=14)
13	47.54304/-6.40641	6.37	322.97	287.36	-35.62	12.49	-23.75	18.05	01j13h36m39s	1710.76	Upwind Port	
12	47.46106/-6.31428	6.72	325.64	288.72	-36.91	15.39	-25.91	21.16	01j11h59m59s	1707.15	Upwind Port	
11	47.29461/-6.14539	6.96	324.67	286.58	-38.09	18.38	-27.88	24.24	01j08h59m59s	1669.14	Upwind Port	
10	47.12421/-5.56711	7.01	323.61	286.63	-36.98	21.53	-28.15	27.45	01j06h00m00s	1541.50	Upwind Port	
9	46.55498/-5.38401	6.90	322.45	288.83	-33.61	24.92	-26.51	30.90	01j03h00m00s	1315.30	Upwind Port	
8	46.39083/-5.19969	6.87	316.68	283.81	-32.87	28.11	-26.59	34.08	01j00h00m00s	988.04	Upwind Port	
7	46.24100/-4.59432	7.44	315.72	273.84	-41.88	30.35	-34.00	36.23	21h00m00s	553.29	Upwind Port	
6	46.08120/-4.36888	8.23	314.47	259.83	-54.65	28.64	-43.29	34.07	18h00m00s	50.94	Upwind Port	
5	45.50824/-4.11532	9.33	316.73	244.25	-72.48	27.58	-56.16	31.66	15h00m00s	29.49	Upwind Port	
4	45.30448/-3.44077	9.44	313.19	231.26	-81.92	20.36	-58.60	23.61	12h00m00s	25.42	Upwind Port	
3	45.11061/-3.14689	9.00	305.21	213.15	-92.05	14.60	-59.84	16.88	08h59m59s	23.35	Upwind Port	
2	44.55493/-2.43455	9.64	300.27	201.26	-99.01	16.67	-66.88	17.91	06h00m00s	11.63	Reaching Port	
1	44.40910/-2.08240	8.76	290.47	194.90	-95.57	12.99	-59.90	14.94	03h00m00s	0.00	Upwind Port	
0	44.31725/-1.33679	0.00	00s
